iteration;avg_executed;avg_worst;avg_average;avg_best
0;108.83163404582139;108.83163404582139;108.83163404582139;108.83163404582139
1;111.37745840228696;111.09481244047568;111.23613542138133;111.37745840228696
2;111.37726304549476;111.09462554368461;111.23594429458969;111.37726304549476
