iteration;avg_executed;avg_worst;avg_average;avg_best
0;107.66637892678531;107.66637892678531;107.66637892678531;107.66637892678531
1;110.3017230100567;109.95410564561097;110.1279212600485;110.30173687448604
2;110.30137876635767;109.95410280716054;110.12774771897372;110.301392630787
